# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use () for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant , sound file,
T, (t)aza, #EE3C8E, taza.png, taza.ogg, t.ogg, Mimi y Pepe (t)oman ma(t)e en la sala./Mama amasa la masa en casa./Ta(t)a sal(t)a solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de (t)eo./La sopa es(t)a salada./Yolanda usa el yoyo./Yumi pasea en el ya(t)e./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fan(t)asma es(t)a en la fuen(t)e./El fan(t)asma asus(t)o a Fidel./Alex (t)oca el xilofono./Ña(t)a como piñas a la mañana./Enrique quiere el paque(t)e de queso que se vende en la esquina./Vanesa va con vein(t)e velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapa(t)ero (t)iene zapa(t)illas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
U, (u)va, #00A000, uva.png, uva.ogg, u.ogg, Mimi   Pepe toman mate en\la sala. Mama amasa la masa\en casa. Tata salta solo en\el sol. L(u)pe lee sola en\la sala. Sol (u)sa la pala de\papa. El oso de mia es Lila.\Pepe (u)sa la lima   la pila \Odi pasea a s(u) oso Lila.\L(u)la   Lila son amigas de\teo  La sopa esta salada.\ olanda (u)sa el  o o \ (u)mi pasea en el  ate \Kika come ki i  El ki i\pesa (u)n kilo  A  e \a  e    dijo el hombre\al b(u)  o  El fantasma\esta en la f(u)ente. El\fantasma as(u)sto a Fidel.\Ale  toca el  ilofono \Ñata como piñas a la\mañana. Enriq(u)e q(u)iere\el paq(u)ete de q(u)eso q(u)e\se  ende en la esq(u)ina \ anesa  a con  einte\ elas   el  aso  acio \  ora el niño porq(u)e\dejo la   a e en el\bolsi  o  El  apatero\tiene  apati  as a (u)les \Ra(u)l  iajo a Roma con\Rosa  J(u)lio   Jaime\j(u)egan con el conejo 
V, (v)aca, #2080A0, vaca.png, vaca.ogg, v.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se (v)ende en la esquina./Vanesa (v)a con (v)einte (v)elas y el (v)aso (v)acio./Llora el niño porque dejo la lla(v)e en el bolsillo./El zapatero tiene zapatillas azules./Raul (v)iajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
W, (w)aterpolo, #808080, waterpolo.png, waterpolo.ogg, w.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come ki(w)i./El ki(w)i pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
X, (x)ilófono, #7EC93C, xilofono.png, xilofono.ogg, x.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Ale(x) toca el (x)ilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
Y, (y)ate, #BA6C71, yate.png, yate.ogg, y.ogg, Mimi (y) Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima (y) la pila./Odi pasea a su oso Lila./Lula (y) Lila son amigas de teo./La sopa esta salada./Yolanda usa el (y)o(y)o./Yumi pasea en el (y)ate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas (y) el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio (y) Jaime juegan con el conejo.
Y, Paragua(y), #DE1C23, paraguay.png, paraguay.ogg, y.ogg, Mimi (y) Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima (y) la pila./Odi pasea a su oso Lila./Lula (y) Lila son amigas de teo./La sopa esta salada./Yolanda usa el (y)o(y)o./Yumi pasea en el (y)ate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas (y) el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio (y) Jaime juegan con el conejo.
Z, (z)apato, #7EC93C, zapato.png, zapato.ogg, z.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El (z)apatero tiene (z)apatillas a(z)ules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
RR, pe(rr)o, #F08020, perro.png, perro.ogg, rr.ogg, Mimi y Pepe toman mate en\la sala. Mama amasa la masa\en casa. Tata salta solo en\el sol. Lupe lee sola en\la sala. Sol usa la pala de\papa. El oso de mia es Lila.\Pepe usa la lima y la pila.\Odi pasea a su oso Lila.\Lula y Lila son amigas de\teo. La sopa esta salada.\Yolanda usa el yoyo.\Yumi pasea en el yate.\Kika come kiwi. El kiwi\pesa un kilo. A(rr)e \a(rr)e... dijo el hombre\al bu(rr)o. El fantasma\esta en la fuente. El\fantasma asusto a Fidel.\Alex toca el xilofono.\Ñata como piñas a la\mañana. Enrique quiere\el paquete de queso que\se vende en la esquina.\Vanesa va con veinte\velas y el vaso vacio.\  ora el niño porque\dejo la   ave en el\bolsi  o  El zapatero\tiene zapati  as azules \Raul viajo a Roma con\Rosa. Julio y Jaime\juegan con el conejo.
LL, (ll)ama, #C93C7E, llama.png, llama.ogg, ll.ogg, Mimi y Pepe toman mate en\la sala. Mama amasa la masa\en casa. Tata salta solo en\el sol. Lupe lee sola en\la sala. Sol usa la pala de\papa. El oso de mia es Lila.\Pepe usa la lima y la pila.\Odi pasea a su oso Lila.\Lula y Lila son amigas de\teo. La sopa esta salada.\Yolanda usa el yoyo.\Yumi pasea en el yate.\Kika come kiwi. El kiwi\pesa un kilo. Arre \arre... dijo el hombre\al burro. El fantasma\esta en la fuente. El\fantasma asusto a Fidel.\Alex toca el xilofono.\Ñata como piñas a la\mañana. Enrique quiere\el paquete de queso que\se vende en la esquina.\Vanesa va con veinte\velas y el vaso vacio.\(Ll)ora el niño porque\dejo la (ll)ave en el\bolsi(ll)o. El zapatero\tiene zapati(ll)as azules.\Raul viajo a Roma con\Rosa. Julio y Jaime\juegan con el conejo.
-, , , , , , Mimi y Pepe toman mate en\la sala. Mama amasa la masa\en casa. Tata salta solo en\el sol. Lupe lee sola en\la sala. Sol usa la pala de\papa. El oso de mia es Lila.\Pepe usa la lima y la pila.\Odi pasea a su oso Lila.\Lula y Lila son amigas de\teo. La sopa esta salada.\Yolanda usa el yoyo.\Yumi pasea en el yate.\Kika come kiwi. El kiwi\pesa un kilo. Arre \arre... dijo el hombre\al burro. El fantasma\esta en la fuente. El\fantasma asusto a Fidel.\Alex toca el xilofono.\Ñata como piñas a la\mañana. Enrique quiere\el paquete de queso que\se vende en la esquina.\Vanesa va con veinte\velas y el vaso vacio.\Llora el niño porque\dejo la llave en el\bolsillo. El zapatero\tiene zapatillas azules.\Raul viajo a Roma con\Rosa. Julio y Jaime\juegan con el conejo.
+, , , , , , Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
