# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use () for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant , sound file,
K, (k)ilo, #FFC040, kilo.png, kilo.ogg, k.ogg,  Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Ki(k)a come (k)iwi./El (k)iwi pesa un (k)ilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
L, (l)oro, #00A0FF, loro.png, loro.ogg, l.ogg,  Mimi y Pepe toman mate en (l)a sa(l)a./Mama amasa (l)a masa en casa./Tata sa(l)ta so(l)o en e(l) so(l)./Lupe (l)ee so(l)a en (l)a sa(l)a./So(l) usa (l)a pa(l)a de papa./E(l) oso de mia es Li(l)a./Pepe usa (l)a (l)ima y (l)a pi(l)a./Odi pasea a su oso Li(l)a./Lu(l)a y Li(l)a son amigas de teo./La sopa esta sa(l)ada./Yo(l)anda usa e(l) yoyo./Yumi pasea en e(l) yate./Kika come kiwi./E(l) kiwi pesa un ki(l)o./Arre arre... dijo e(l) hombre a(l) burro./E(l) fantasma esta en (l)a fuente./E(l) fantasma asusto a Fide(l)./A(l)ex toca e(l) xi(l)ofono./Ñata como piñas a (l)a mañana./Enrique quiere e(l) paquete de queso que se vende en (l)a esquina./Vanesa va con veinte ve(l)as y e(l) vaso vacio./L(l)ora e(l) niño porque dejo (l)a (l)(l)ave en e(l) bo(l)si(l)(l)o./E(l) zapatero tiene zapati(l)(l)as azu(l)es./Rau(l) viajo a Roma con Rosa./Ju(l)io y Jaime juegan con e(l) conejo.
M, (m)esa, #C72020, mesa.png, mesa.ogg, m.ogg, (M)i(m)i y Pepe to(m)an (m)ate en la sala./(M)a(m)a a(m)asa la (m)asa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de (m)ia es Lila./Pepe usa la li(m)a y la pila./Odi pasea a su oso Lila./Lula y Lila son a(m)igas de teo./La sopa esta salada./Yolanda usa el yoyo./Yu(m)i pasea en el yate./Kika co(m)e kiwi./El kiwi pesa un kilo./Arre arre... dijo el ho(m)bre al burro./El fantas(m)a esta en la fuente./El fantas(m)a asusto a Fidel./Alex toca el xilofono./Ñata co(m)o piñas a la (m)añana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Ro(m)a con Rosa./Julio y Jai(m)e juegan con el conejo.
N, (n)ube, #7A6BBD, nube.png, nube.ogg, n.ogg, Mimi y Pepe toma(n) mate e(n) la sala./Mama amasa la masa e(n) casa./Tata salta solo e(n) el sol./Lupe lee sola e(n) la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila so(n) amigas de teo./La sopa esta salada./Yola(n)da usa el yoyo./Yumi pasea e(n) el yate./Kika come kiwi./El kiwi pesa u(n) kilo./Arre arre... dijo el hombre al burro./El fa(n)tasma esta e(n) la fue(n)te./El fa(n)tasma asusto a Fidel./Alex toca el xilofo(n)o./Ñata como piñas a la maña(n)a./E(n)rique quiere el paquete de queso que se ve(n)de e(n) la esqui(n)a./Va(n)esa va co(n) vei(n)te velas y el vaso vacio./Llora el (n)iño porque dejo la llave e(n) el bolsillo./El zapatero tie(n)e zapatillas azules./Raul viajo a Roma co(n) Rosa./Julio y Jaime juega(n) co(n) el co(n)ejo.
Ñ, (ñ)andú, #80C040/#C93C7E, nandu.png, nandu.ogg, ny.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como pi(ñ)as a la ma(ñ)ana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el ni(ñ)o porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
O, (o)s(o), #A4221E, oso.png, oso.ogg, o.ogg, Mimi y Pepe t(o)man mate en la sala./Mama amasa la masa en casa./Tata salta s(o)l(o) en el s(o)l./Lupe lee s(o)la en la sala./S(o)l usa la pala de papa./El (o)s(o) de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su (o)s(o) Lila./Lula y Lila s(o)n amigas de te(o)./La s(o)pa esta salada./Y(o)landa usa el y(o)y(o)./Yumi pasea en el yate./Kika c(o)me kiwi./El kiwi pesa un kil(o)./Arre arre... dij(o) el h(o)mbre al burr(o)./El fantasma esta en la fuente./El fantasma asust(o) a Fidel./Alex t(o)ca el xil(o)f(o)n(o)./Ñata c(o)m(o) piñas a la mañana./Enrique quiere el paquete de ques(o) que se vende en la esquina./Vanesa va c(o)n veinte velas y el vas(o) vaci(o)./Ll(o)ra el niñ(o) p(o)rque dej(o) la llave en el b(o)lsill(o)./El zapater(o) tiene zapatillas azules./Raul viaj(o) a R(o)ma c(o)n R(o)sa./Juli(o) y Jaime juegan c(o)n el c(o)nej(o).
P, (p)ato, #A4221E, pato.png, pato.ogg, p.ogg, Mimi y Pe(p)e toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lu(p)e lee sola en la sala./Sol usa la (p)ala de (p)a(p)a./El oso de mia es Lila./Pe(p)e usa la lima y la (p)ila./Odi (p)asea a su oso Lila./Lula y Lila son amigas de teo./La so(p)a esta salada./Yolanda usa el yoyo./Yumi (p)asea en el yate./Kika come kiwi./El kiwi (p)esa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como (p)iñas a la mañana./Enrique quiere el (p)aquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño (p)orque dejo la llave en el bolsillo./El za(p)atero tiene za(p)atillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
Q, (q)ueso, #FFC040, queso.png, queso.ogg, q.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enri(q)ue (q)uiere el pa(q)uete de (q)ueso (q)ue se vende en la es(q)uina./Vanesa va con veinte velas y el vaso vacio./Llora el niño por(q)ue dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
R, (r)atón, #F08020, raton.png, raton.ogg, r.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./A(r)(r)e a(r)(r)e... dijo el homb(r)e al bu(r)(r)o./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./En(r)ique quie(r)e el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llo(r)a el niño po(r)que dejo la llave en el bolsillo./El zapate(r)o tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
S, (s)apo, #7EC93C, sapo.png, sapo.ogg, s.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./L(u)pe lee sola en la sala./Sol (u)sa la pala de papa./El oso de mia es Lila./Pepe (u)sa la lima y la pila./Odi pasea a s(u) oso Lila./L(u)la y Lila son amigas de teo./La sopa esta salada./Yolanda (u)sa el yoyo./Y(u)mi pasea en el yate./Kika come kiwi./El kiwi pesa (u)n kilo./Arre arre... dijo el hombre al b(u)rro./El fantasma esta en la f(u)ente./El fantasma as(u)sto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enriq(u)e q(u)iere el paq(u)ete de q(u)eso q(u)e se vende en la esq(u)ina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porq(u)e dejo la llave en el bolsillo./El zapatero tiene zapatillas az(u)les./Ra(u)l viajo a Roma con Rosa./J(u)lio y Jaime j(u)egan con el conejo.
